@relation housing_train_cleaned

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit',unknown,'laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',unknown,carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand {yes,no,unknown}

@data
876,apartment,855,1,1,1,1,1,1,0,0,'w/d hookups',unknown,yes
899,apartment,750,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1375,townhouse,1400,3,2.5,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
899,apartment,750,1,1,1,0,1,0,0,0,'w/d hookups','off-street parking',yes
1194,apartment,1416,3,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
1000,apartment,1156,3,2,1,1,1,0,0,0,'laundry on site',unknown,yes
1230,apartment,1200,2,2.5,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1145,apartment,1060,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
915,apartment,1133,1,1.5,1,1,1,0,0,0,'laundry on site','street parking',yes
999,house,1829,4,2.5,1,1,1,0,0,0,'w/d hookups','attached garage',no
1244,apartment,1226,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1040,apartment,830,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
879,apartment,984,2,0,1,1,1,0,0,0,'w/d hookups',unknown,yes
1400,house,1397,3,2.5,0,0,1,0,0,0,'w/d hookups','off-street parking',yes
1227,apartment,1177,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1134,apartment,1440,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
995,apartment,1100,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
1215,apartment,1572,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
930,apartment,1000,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
865,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
905,apartment,1000,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1005,apartment,1000,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
960,apartment,1298,2,2,1,1,1,0,0,0,'laundry on site','street parking',yes
800,apartment,1056,2,2,1,1,1,0,0,0,'laundry on site',unknown,yes
940,apartment,1000,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1015,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
925,house,1346,4,2,0,0,1,0,0,0,unknown,unknown,yes
820,house,992,3,1,0,0,1,0,0,0,unknown,unknown,yes
1269,apartment,1156,3,2,1,1,1,0,0,0,unknown,unknown,yes
799,apartment,703,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
1050,house,1512,3,2,0,0,1,0,0,0,unknown,unknown,yes
695,apartment,906,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
899,apartment,933,2,1,1,1,1,0,0,0,unknown,unknown,yes
799,apartment,703,1,1,1,1,1,0,0,0,unknown,unknown,yes
1144,apartment,1416,3,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
1085,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1100,apartment,1306,3,2,0,0,1,0,0,0,unknown,unknown,yes
790,apartment,583,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
800,apartment,1029,2,1,0,0,1,0,0,0,unknown,unknown,yes
865,apartment,1222,2,2,1,1,1,0,0,0,unknown,unknown,yes
772,apartment,871,2,1,1,1,1,1,0,0,'laundry on site',unknown,yes
870,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',yes
850,apartment,1000,2,1,1,1,1,0,0,0,'w/d hookups','street parking',yes
800,apartment,1029,2,1,1,1,0,0,0,0,'w/d hookups','street parking',yes
1200,apartment,1862,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
1025,apartment,1548,2,1.5,1,1,1,0,0,0,'laundry on site','street parking',yes
975,house,1575,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1115,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
900,house,1347,3,2,1,1,1,1,0,1,'w/d in unit','attached garage',yes
825,apartment,591,1,1,0,0,1,0,0,0,unknown,unknown,yes
855,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
775,apartment,802,1,1,1,1,1,0,0,0,'laundry on site','street parking',yes
850,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',yes
