@relation housing_train_cleaned-weka.filters.unsupervised.attribute.Remove-R3-13-weka.filters.unsupervised.attribute.Remove-V-R1-3

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute demand {yes,no,unknown}

@data
1275,apartment,yes
959,apartment,yes
620,apartment,yes
699,apartment,yes
749,apartment,yes
1150,apartment,yes
799,apartment,yes
1235,apartment,yes
799,apartment,yes
610,apartment,yes
1065,apartment,yes
750,apartment,yes
859,apartment,yes
1544,apartment,yes
2100,house,yes
1299,apartment,yes
610,apartment,yes
709,apartment,yes
865,apartment,yes
725,apartment,yes
799,apartment,yes
559,apartment,yes
789,apartment,yes
629,apartment,yes
925,apartment,yes
709,apartment,yes
700,house,yes
550,house,yes
1030,apartment,yes
900,house,no
749,apartment,yes
745,apartment,yes
1604,apartment,yes
800,house,yes
865,apartment,yes
850,house,yes
995,apartment,yes
800,apartment,yes
1060,apartment,yes
1090,apartment,yes
995,apartment,yes
749,apartment,yes
899,apartment,yes
1151,apartment,yes
1220,apartment,yes
1245,apartment,yes
899,apartment,yes
919,apartment,yes
600,manufactured,yes
799,apartment,yes
779,apartment,yes
1030,apartment,yes
1100,apartment,yes
1035,apartment,yes
640,house,yes
986,apartment,yes
610,apartment,yes
842,apartment,yes
714,apartment,yes
570,house,yes
610,house,yes
968,apartment,yes
899,apartment,yes
1300,house,yes
779,apartment,yes
775,apartment,yes
899,apartment,yes
935,apartment,yes
869,apartment,yes
989,apartment,yes
989,apartment,yes
978,apartment,yes
650,house,yes
977,apartment,yes
875,apartment,yes
600,house,yes
859,apartment,yes
900,apartment,yes
770,apartment,yes
895,apartment,yes
550,house,yes
590,house,yes
919,apartment,yes
825,apartment,yes
799,apartment,yes
1365,apartment,yes
968,apartment,yes
1005,apartment,yes
530,house,yes
1226,apartment,yes
600,apartment,yes
550,house,yes
1150,apartment,yes
540,house,yes
475,apartment,yes
785,apartment,yes
550,apartment,yes
500,apartment,yes
500,apartment,yes
575,apartment,yes
550,apartment,yes
475,apartment,yes
1000,apartment,yes
1000,apartment,yes
1000,apartment,yes
895,townhouse,yes
590,house,yes
1079,apartment,yes
620,house,yes
730,apartment,yes
1650,house,yes
585,apartment,yes
510,house,yes
937,apartment,yes
610,house,yes
968,apartment,yes
1576,apartment,yes
400,apartment,yes
559,apartment,yes
1069,apartment,yes
1040,apartment,yes
830,apartment,yes
749,apartment,yes
799,apartment,yes
769,apartment,yes
1070,apartment,yes
938,apartment,yes
510,house,yes
1200,condo,yes
500,house,yes
510,house,yes
850,apartment,yes
985,apartment,yes
1165,apartment,yes
745,apartment,yes
977,apartment,yes
799,apartment,yes
964,apartment,yes
899,apartment,yes
1200,house,yes
700,apartment,yes
925,apartment,yes
799,apartment,yes
953,apartment,yes
580,house,yes
1225,apartment,yes
950,apartment,yes
485,apartment,yes
600,apartment,yes
749,apartment,yes
800,house,no
750,apartment,yes
899,apartment,yes
1105,apartment,yes
799,apartment,yes
1001,apartment,yes
7919,apartment,yes
545,apartment,yes
1070,apartment,yes
570,house,yes
829,apartment,yes
950,apartment,yes
615,apartment,yes
1000,apartment,yes
959,apartment,yes
878,apartment,yes
595,apartment,yes
712,apartment,yes
650,apartment,yes
575,apartment,yes
475,apartment,yes
550,apartment,yes
735,apartment,yes
575,apartment,yes
500,apartment,yes
993,apartment,yes
580,house,yes
1050,apartment,yes
1235,apartment,yes
1170,apartment,yes
1155,apartment,yes
0,apartment,yes
0,apartment,yes
899,apartment,yes
999,apartment,yes
719,apartment,yes
899,apartment,yes
1230,apartment,yes
1101,apartment,yes
1164,apartment,yes
1013,apartment,yes
660,apartment,yes
732,apartment,yes
590,apartment,yes
840,apartment,yes
1190,apartment,yes
933,apartment,yes
1175,apartment,yes
989,apartment,yes
779,apartment,yes
1129,apartment,yes
749,apartment,yes
395,apartment,yes
710,apartment,yes
1023,apartment,yes
1310,apartment,yes
1175,apartment,yes
1308,apartment,yes
1168,apartment,yes
745,apartment,yes
978,apartment,yes
1298,apartment,yes
1293,apartment,yes
968,apartment,yes
660,apartment,yes
917,apartment,yes
989,apartment,yes
899,apartment,yes
899,apartment,yes
779,apartment,yes
520,apartment,yes
475,house,yes
1392,apartment,yes
1070,apartment,yes
674,apartment,yes
1140,apartment,yes
793,apartment,yes
550,apartment,yes
1310,apartment,yes
1100,apartment,yes
651,apartment,yes
610,apartment,yes
847,apartment,yes
620,house,yes
650,apartment,yes
1400,house,no
499,house,yes
1200,house,no
866,apartment,yes
989,apartment,yes
1369,apartment,yes
779,apartment,yes
750,apartment,yes
905,apartment,yes
915,apartment,yes
1192,apartment,yes
995,house,yes
1200,house,yes
1129,apartment,yes
779,apartment,yes
1008,apartment,yes
1114,apartment,yes
918,apartment,yes
847,apartment,yes
525,apartment,yes
525,apartment,yes
1065,apartment,yes
1180,apartment,yes
610,apartment,yes
1490,house,yes
5,house,no
1139,apartment,yes
1215,apartment,yes
630,townhouse,yes
1045,apartment,yes
799,apartment,yes
768,apartment,yes
960,apartment,yes
5,house,yes
883,apartment,yes
779,apartment,yes
1170,apartment,yes
1185,apartment,yes
980,apartment,yes
1095,apartment,yes
1195,apartment,yes
725,house,yes
885,apartment,yes
855,apartment,yes
949,apartment,yes
1071,apartment,yes
1045,apartment,yes
480,apartment,yes
